word;meaning
bẹyọ́;floating grass mass
bigí;twist
birémùkásà;deep floating net
bíri¹;wash
birií;dress
bíyou²;mind
bịlaberí;herb
bịnaí;reconcile
bịyán;meet angrily
bolí;partial harvest
bọ́lẹị;lend
bọọ́;agree
bọ́ọ¹;pass
bọ́ọ²;miss
bọ́ụn;roof
bọwẹí;and
búa;lease land
búnì;grey hair
burukubúrùku;dim
bụ́rụ;prophesy
bụrụ́n;canoe seat tree
dáa¹;lead
dáa²;push
dáadìí;taste
daán;step on
dádà;father
dánghaịn;be tall
dásị;give gift
dée;be proud
deí²;thread
déi;fishing rod
deinmọ́;respond
deinmọọ́;pour out
déinsịnsịn;praying mantis sound
dereín;descend gently
dẹẹ́;set
dibalá;rejoice over someone
dibí¹;bury
dií;look at
díi¹;put taboo
díi²;imitate
dísei;choice
dịá²;cause suffering
dịẹ́¹;share out
dịẹ́²;begin playing
dọ́;d greeting
dọ́sụ;pour
dọụ́;need
duó;follow
dúu¹;mourn
duweí;sprain
dụ́nụ¹;uproot
dụ́ụ¹;chew
edíe;fish cage-trap
edikpeké;palpitation
éè;oh
éèe;that's it
eférimefe;light object
egbelé;guffaw
egelé;moving dance
egúgumọ;cheer
ehé;oho
éiyà;oh
ekeé;rat
ekúlèí;African Black Kite
ekurekuré;cliff to river
Eleké²;Korokorosei deity
eléle;behave wildly
elému;be old
eméin;manatee
eregheí;roam
erí;he
esimasimá;indecision
esín¹;fear
esímein;struggle to escape
esunweín¹;grieve
esunweín²;grief
eteté;big container
etitá;footstep sound
etunweín;large toad
eú;sorrow exclamation
éwùéwù;vindication exclamation
ẹbụ́mọ;equip
ẹdụlẹ́;leopard
ẹẹ́n;is it so
ẹfẹ́rẹ¹;plate
ẹfẹ́rẹị²;dead skin
Ẹfẹ́rụmọwẹnị;masquerade
ẹgbẹ́;suit
ẹkẹbụ́;ant-hill
ẹkẹkẹ́¹;Greater White-nosed Monkey
ẹkẹlẹkẹ́lẹ̀;African Darter
Ẹkẹn-bọ́ọmọ̀baì;day after market
ẹkpẹlẹ́;facial mark
ẹlẹlẹ́;used in dance
ẹngẹ́lẹ;clean cane-rope
Ẹrẹ́paadọụ;personal name
ẹ́rị;see
ẹsẹẹ́n;soap
ẹtẹtẹ́¹;woven tray
ẹtẹtẹ́²;cloth piece
ẹtẹụ́;fish cage-trap
ẹwẹ́lẹ;be humorous
ẹwẹ́n;exhaust
famọụ́;grow
famụ́³;germinate
fánụ¹;fence
fárị¹;sharpen
fárị²;drum
fárị³;coax
fẹ́ẹ¹;buy
fíe¹;talk
figí¹;throw over hip
figí²;jerk rod
finí;open
fịụụn;thin line
fókotuo;herb soap
fókufoku;stacked up
fọ́kọ¹;gather dress
fọ́ụn¹;drag
fugú¹;throw over hip
fugú²;jerk rod
fún-gowarị;library
fungí¹;throw over hip
fungí²;jerk rod
fungudeí;snaphook
fúo¹;son-in-law
fúru¹;steal
gbá²;claim ọgbọ́lọ̀
gbaá;trim canoe
gbáa;say
gbaán¹;close
gbalá¹;tie
gbalá²;back
gban;pass by
gbaná;put on
gbasii²;well-built
gbau¹;with thud
gbau²;solitary
gbedé;big fish
gbee¹;stir
gbéila²;shake
gbéin¹;sew
gbekeí;doze
gbéle¹;knock
gbéle²;touch
gbelií²;knock-kneed
gbẹ́ẹ¹;pay
gbiín¹;bind edges
gbiín²;tie bamboos
gbíki¹;shake
gbíngha;shake object
gbódo;waste
gboín;be blocked
gbonmọ́¹;block
gbonmọ́²;partition
gboo;pain feeling
gboón¹;close
gbóoro;stir
gborei;throw forcefully
gbọlụ́¹;box
gbọlụ́²;peck
gbọ́lụ¹;chisel
gbúnu¹;tie knot
gbúnu²;plan secretly
gburaị¹;hold by force
gbúzuru¹;thicken soup
gési;be true
gẹẹ́¹;write
gẹẹ́²;cut
gẹ́rịngẹrịn²;very strong
gobiegóbie;reddish-brown
golaa;understand
goó¹;read
goón;dazzling light
gorongbaá;tall and huge
gọraịn¹;sharp
gúsi;scratch ground
gúu;shovel aside
gụá;mix
gụaịgụ́aị;mixed up
gụ́ọ¹;obtain medicine
háaa;laughter exclamation
háahùu;pepper pain sound
húùún;humph
ibereberé¹;fern
Iberegú;Borgu
igbé;moor
Igbébiriyaị;masquerade
Igbedí;Kólokùmá border town
igbeí;sit abreast
igbóro-igboro;striped
igburukú;troublesome
igóli;handcuff
igóliwarị;prison
íii;call in bush
íiyàa;relief exclamation
ikiá²;marry small dowry
ikiá³;friendship
ikiríìn;short and bulky
ikóliwarị;prison
ikoó;equip
ikpemá;electric fish skin
ikpokpo;used in fishing
imbí¹;fish in lake
imeseí¹;look affectedly
ingbé;be blunt
ingbíri²;top game
ingbísirisi;animal
imímiyoun;suck forcefully
indé;be thick
indéri;fail to speak
indóu;suck
ineé²;me
inima;be stunted
ínyèé;yes
irí³;be hoarse
iroró;think
iseín¹;farm length
iwé¹;envy
iwíri;tortoise
iyáà;friend
ịbọlọ́;red neck bead
ịfọ́rọrọn;tree
ịgáran;pepper
Ngáràn;north-west people
ịgáran-dọn;smallpox
ịgbọ́;cast-net
ịkọnfí;mussel
ịkọ́rọnsị;sandpaper tree
ịkpọkí;catfish
ịmá;compress lips
ịmbẹbẹlẹ́;elephant grass
ịmbẹ́ẹẹ̀;bleating sound
ịmbẹ́lẹmọ¹;tease
ịrụ́;be stunted
ịsụ́n¹;plant yam
ịtáịnkọlị;vain hope
ịtẹtẹ́rẹ̀;melon
ịtọlọ́¹;small flexible tree
ịtọlọ́²;sandfly
ịtọ́nghị;fish
ịyaa;greeting response
ịyagá;fufu type
iyé;you (singular)
iyeé;I (short subject form)
ịyọọ́;sift cassava in water
ịzụụ́n;unidentified tree
káa¹;be mature
káa²;be wise
káà³;sorry (exclamation)
káan¹;tear
káan²;wander through bush
kabá;shorten name for advice
Kabo;Kabowei ibe member
káị¹;nail
káị²;lock or button up
káị³;load
Kaịámà;town in Kólokùmá
kála;little
kambalá¹;tiny sparks from charcoal
kámein;fear
kamọụ́n;entertain
kaụ́n¹;have bad intentions
kési;be true
kẹ́kẹ¹;chip out bits
kẹ́kẹ²;cut into slices
kẹ́kẹ³;hatch
kẹkẹí;hatch out
kẹnịfá¹;one-eyed person
kẹ́nịtìmimọ́-mà-sịlị;florin
kẹ́rẹịn;light sound (glass on bottle)
kẹrẹnkẹrẹ́n;neat
kẹrẹ́nkẹ̀rẹ́n;sideways walk
kẹ́rẹrẹụn;same as
kií¹;stop
kií²;fix date
kíri²;ground
kírikiri¹;shallow
kírikiri²;full of farms
kirínkìrín;short and fat
kịẹ́n¹;count
kịẹnmọ́;be watchful
kịlẹ́¹;refuse food
kịyaịmọ́;drain into
kóbiri;mix
kobirií;be mixed
kóbu;mix
konu-birí-ìndokú;Fulani cow
kóromọ¹;put down
kóru¹;keep watch
kọngịyọ́ò;lean
kọọmọọ́;leave behind
kọọ́n¹;fish
kọọ́n²;pick
kpaá¹;secure
kpaá²;arrest
kpáà¹;dane gun noise
kpákị²;extract thorn
kpakpaí;wear away
kpálị;spy
kpapịyaá;light splash
kpáta¹;clear bush
kpau;with thud
kpéki¹;gather
kpó¹;mould lumps
kpókpo¹;cut for sacrifice
kpokpóbà;fishing hook
kpólu¹;take secretly
kpólumọ¹;tighten wrapper
kpopiyaá;big splash
kpotoroó;gather abundantly
kpọ́ụ²;tow boat
kpúkpu¹;demolish
kpúkpu²;sift
kpụkpuye;cane sieve
kpụkpẹí;become loose
kpụwáì;serve you right
kubú;tattoo
kuí²;prepare wine-palm
kún¹;plait
kuné¹;gift to daughter
kúnemọ;end
kúra;powerful animal
kụ́fịẹẹ̀;reject bad event
kụ́kịrị;gnaw
kụ́n¹;make sacrifice
kụ́n²;originate
kụ́nụ¹;mourn
kụ́ta;fold neatly
labá¹;coil
labaí;be coiled
lekúkù;pigeon
leleí¹;identify
lẹẹ́¹;beat
lẹ́ẹmọ;deceive
lẹ́ị;do
lẹ́lẹmọ;coax
lií;disappear
líila¹;roll excessively
lipú;fishing floater
lórèí;children's game
lọọ́¹;smear mud
lúgbule;careless wrapping
mérin;hindrance
meseí¹;look affectedly
mẹrẹnmẹrẹ́n;softly
míiriin;round and bulky
miní²;pass enemy's head
mórun;ripe
mọụ́n;famine
mumú;silent person
mụrẹnmụrẹ́n¹;smouldering heat
naá¹;hear
naná¹;possess
naná²;marry
nigbimọọ́;bully
nií;sniff
nikúì;faint thing
ningbí¹;bully
niní;cheat
níni;nose
ninibará;robbery
o²;so
obébè;ladder
obína-tịbị-owei;chairman
obúruma;mole cricket
odó;mortar for fufu
odú¹;cocoyam
odumagalí;chameleon
odú-mọ̀-buru-mọ-kunóun;stop it
ofían³;avert evil
ofó;asthma
ofomúkọ̀rịghá;medicinal climber
ofoníà;farina
ofúogùma;red seed shrub
ofúromọ;dust
ofurumofú;bladder
ogbódìé;topminnow fish
ogbóni;persecute
ogbúrùn;turaco bird
ogírizì;boundary tree
ogódìé;topminnow fish
okíri;crawl
okonroón;harmattan
okoón;skim
Okotiamá;Gbanraịn headquarters
okotú;girl attendant
okpórogù;trough
okúlèí;African Black Kite
olíeliè;African Pied Wagtail
olíeliè-gbamú-tùlá;white lily
ólò;hello
olóòdo;exclamation of discovery
onunoún;investigate secretly
onyoma;usually
oó;exclamation
oónà;oho
opiín;yaws in anus
opó¹;peel
Opuadá;Gbanraịn deity
opuoí;peel off
opurokúù;dull
oroún;plantain stem
órubẹrẹbọfịghá;long-snout fish
osó;used in
osúà;good luck
osún²;cassava starch
otíotiò;swallow
